Study_Hours,Attendance_Percentage,Internal_Marks,Assignment_Score,Final_Marks,Result
4.49,62.42,41,17,46.2,Pass
11.41,59.97,21,4,41.78,Pass
8.78,50.57,23,4,39.36,Fail
7.18,76.44,32,18,53.88,Pass
1.87,68.6,32,12,40.41,Pass
1.87,91.94,42,6,35,Fail
0.7,41.93,46,13,35,Fail
10.39,78.63,41,7,47.04,Pass
7.21,85.78,44,2,41.67,Pass
8.5,85.57,46,3,60.87,Pass
0.25,93.16,42,9,35,Fail
11.64,83.74,36,3,58.4,Pass
9.99,95.67,25,17,64.66,Pass
2.55,59.96,30,11,35,Fail
2.18,70.19,38,19,36.46,Fail
2.2,40.84,35,19,37.62,Fail
3.65,40.42,27,14,42.19,Pass
6.3,54.41,48,12,55.28,Pass
5.18,46.05,20,11,35,Fail
3.49,55.61,29,7,35,Fail
7.34,50.62,21,8,44.93,Pass
1.67,41.71,38,19,35,Fail
3.51,94.56,33,8,45.64,Pass
4.4,40.49,22,16,35,Fail
5.47,84.16,42,0,35.66,Fail
9.42,49.13,48,5,44.29,Pass
2.4,94.73,43,6,49.19,Pass
6.17,93.57,50,8,53.25,Pass
7.11,79.23,28,9,41.79,Pass
0.56,80.33,42,3,35,Fail
7.29,40.32,27,15,41.21,Pass
2.05,99.09,30,11,35.9,Fail
0.78,92.67,34,8,35,Fail
11.39,93.71,25,2,53.77,Pass
11.59,79.55,21,8,57.89,Pass
9.7,60.69,20,16,43.31,Pass
3.66,93.62,22,13,46.55,Pass
1.17,57.49,44,4,35,Fail
8.21,73.76,48,20,64.07,Pass
5.28,45.98,42,0,36.61,Fail
1.46,95.32,37,0,35,Fail
5.94,48.45,33,2,42.19,Pass
0.41,53.49,36,8,35,Fail
10.91,73.49,21,5,56.79,Pass
3.11,85.85,50,8,48.79,Pass
7.95,77.16,38,3,44.7,Pass
3.74,53.93,49,19,42.45,Pass
6.24,40.06,41,18,54.13,Pass
6.56,85.43,47,4,44.71,Pass
2.22,99.11,28,4,35,Fail
11.64,88.59,27,13,64.47,Pass
9.3,67.61,29,9,52.71,Pass
11.27,94.23,28,15,61.5,Pass
10.74,64.59,46,5,54.29,Pass
7.17,71.5,46,19,62.06,Pass
11.06,68.63,27,13,47.14,Pass
1.06,66.86,26,17,35,Fail
2.35,86.51,41,8,35,Fail
0.54,71.61,43,6,35,Fail
3.9,59,25,17,40.64,Pass
4.66,55.49,21,9,35,Fail
3.26,42.26,48,1,40.08,Pass
9.94,74.99,28,12,58.03,Pass
4.28,53.8,28,5,35,Fail
3.37,48.89,38,8,35,Fail
6.51,79.23,28,19,45.24,Pass
1.69,80.87,21,7,35,Fail
9.63,85.13,47,9,68.89,Pass
